site,type,time,image,class,id,mouseClass,mouseId,x,y,keys,scroll,height
www.amazon.com,eye,2,0.jpg,,,,,512,256,,0,5960
www.amazon.com,freeze,2,0.jpg,,,,,0,0,,0,5960
www.amazon.com,eye,2,0.jpg,,,,,512,256,,0,5960
www.amazon.com,eye,2,0.jpg,,,,,512,256,,0,5960
www.amazon.com,move,2,0.jpg,nav-input nav-progressive-attribute,twotabsearchtextbox,nav-input nav-progressive-attribute,twotabsearchtextbox,1077,13,,0,5960
www.amazon.com,move,2,0.6000000000000001.jpg,nav-progressive-content,nav-xshop,nav-progressive-content,nav-xshop,1312,84,,0,5960
www.amazon.com,move,2,0.6000000000000001.jpg,"_cropped-image-link_style_fluidLandscapeImage__3eTVC 
 _cropped-image-link_style_fluidImage__iJ3aE",,"_cropped-image-link_style_fluidLandscapeImage__3eTVC 
 _cropped-image-link_style_fluidImage__iJ3aE",,1408,119,,0,5960
www.amazon.com,move,2,0.6000000000000001.jpg,"_cropped-image-link_style_fluidLandscapeImage__3eTVC 
 _cropped-image-link_style_fluidImage__iJ3aE",,"_cropped-image-link_style_fluidLandscapeImage__3eTVC 
 _cropped-image-link_style_fluidImage__iJ3aE",,1517,161,,0,5960
www.amazon.com,move,2,0.6000000000000001.jpg,nav-progressive-content,nav-xshop,nav-progressive-content,nav-xshop,1264,63,,0,5960
www.amazon.com,move,2,0.6000000000000001.jpg,"_cropped-image-link_style_fluidLandscapeImage__3eTVC 
 _cropped-image-link_style_fluidImage__iJ3aE",,"_cropped-image-link_style_fluidLandscapeImage__3eTVC 
 _cropped-image-link_style_fluidImage__iJ3aE",,1613,189,,0,5960
www.amazon.com,move,2,0.6000000000000001.jpg,a-carousel-goto-nextpage,,a-carousel-goto-nextpage,,1698,209,,0,5960
www.amazon.com,move,2,0.6000000000000001.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1733,211,,0,5960
www.amazon.com,eye,2,0.6000000000000001.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,512,256,,0,5960
www.amazon.com,move,2,0.6000000000000001.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1735,211,,0,5960
www.amazon.com,move,2,0.8.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1743,208,,0,5960
www.amazon.com,move,2,0.8.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1745,206,,0,5960
www.amazon.com,move,2,0.8.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1747,199,,0,5960
www.amazon.com,move,2,0.8.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1737,211,,0,5960
www.amazon.com,move,2,0.8.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1760,179,,0,5960
www.amazon.com,move,2,0.8.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1778,170,,0,5960
www.amazon.com,move,2,0.8.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1842,157,,0,5960
www.amazon.com,move,2,0.8.jpg,a-section a-spacing-none,pageContent,a-section a-spacing-none,pageContent,1895,135,,0,5960
www.amazon.com,move,2,0.8.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1909,116,,0,5960
www.amazon.com,move,2,0.8.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1909,100,,0,5960
www.amazon.com,move,2,0.8.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1909,82,,0,5960
www.amazon.com,move,2,0.8.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1909,75,,0,5960
www.amazon.com,eye,2,0.8.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,512,256,,0,5960
www.amazon.com,move,2,0.8.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1908,69,,0,5960
www.amazon.com,move,2,0.8.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1908,67,,0,5960
www.amazon.com,move,2,0.8.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1907,64,,0,5960
www.amazon.com,move,2,0.8.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1906,63,,0,5960
www.amazon.com,move,2,1.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1905,62,,0,5960
www.amazon.com,move,2,1.jpg,nav-swm-text-widget,nav-swmslot,nav-swm-text-widget,nav-swmslot,1902,60,,0,5960
www.amazon.com,move,2,1.jpg,nav-a nav-a-2 nav-progressive-attribute,nav-cart,nav-a nav-a-2 nav-progressive-attribute,nav-cart,1884,49,,0,5960
www.amazon.com,move,2,1.jpg,nav-a nav-a-2 nav-progressive-attribute,nav-cart,nav-a nav-a-2 nav-progressive-attribute,nav-cart,1813,26,,0,5960
www.amazon.com,move,2,1.jpg,nav-a nav-a-2   nav-progressive-attribute,nav-orders,nav-a nav-a-2   nav-progressive-attribute,nav-orders,1791,22,,0,5960
www.amazon.com,eye,3,1.jpg,,,nav-a nav-a-2   nav-progressive-attribute,nav-orders,512,256,,0,5960
www.amazon.com,freeze,3,1.jpg,,,nav-a nav-a-2   nav-progressive-attribute,nav-orders,1791,22,,0,5960
www.amazon.com,eye,3,1.jpg,,,nav-a nav-a-2   nav-progressive-attribute,nav-orders,512,256,,0,5960
www.amazon.com,eye,3,1.jpg,,,nav-a nav-a-2   nav-progressive-attribute,nav-orders,512,256,,0,5960
www.amazon.com,freeze,3,1.jpg,,,nav-a nav-a-2   nav-progressive-attribute,nav-orders,1791,22,,0,5960
www.amazon.com,eye,3,1.jpg,,,nav-a nav-a-2   nav-progressive-attribute,nav-orders,512,256,,0,5960
www.amazon.com,move,3,1.jpg,nav-line-1,,nav-line-1,,1747,15,,0,5960
www.amazon.com,move,3,1.7999999999999998.jpg,nav-line-1,,nav-line-1,,1748,16,,0,5960
www.amazon.com,move,3,1.7999999999999998.jpg,nav-line-1,,nav-line-1,,1752,16,,0,5960
www.amazon.com,move,3,1.7999999999999998.jpg,nav-line-1,,nav-line-1,,1747,16,,0,5960
www.amazon.com,move,3,1.7999999999999998.jpg,nav-line-1,,nav-line-1,,1755,16,,0,5960
www.amazon.com,eye,3,1.7999999999999998.jpg,nav-line-1,,nav-line-1,,512,256,,0,5960
www.amazon.com,move,3,1.7999999999999998.jpg,nav-line-1,,nav-line-1,,1767,16,,0,5960
www.amazon.com,move,3,1.7999999999999998.jpg,nav-line-1,,nav-line-1,,1780,17,,0,5960
www.amazon.com,move,3,1.7999999999999998.jpg,nav-a nav-a-2   nav-progressive-attribute,nav-orders,nav-a nav-a-2   nav-progressive-attribute,nav-orders,1799,17,,0,5960
www.amazon.com,move,3,1.7999999999999998.jpg,nav-cart-icon nav-sprite,,nav-cart-icon nav-sprite,,1815,19,,0,5960
www.amazon.com,move,3,1.9999999999999998.jpg,nav-cart-icon nav-sprite,,nav-cart-icon nav-sprite,,1824,19,,0,5960
www.amazon.com,move,3,1.9999999999999998.jpg,nav-cart-icon nav-sprite,,nav-cart-icon nav-sprite,,1827,19,,0,5960
www.amazon.com,move,3,1.9999999999999998.jpg,nav-cart-icon nav-sprite,,nav-cart-icon nav-sprite,,1821,19,,0,5960
www.amazon.com,move,3,1.9999999999999998.jpg,nav-cart-count nav-cart-0 nav-progressive-attribute nav-progressive-content,nav-cart-count,nav-cart-count nav-cart-0 nav-progressive-attribute nav-progressive-content,nav-cart-count,1828,19,,0,5960
www.amazon.com,move,3,1.9999999999999998.jpg,nav-cart-count nav-cart-0 nav-progressive-attribute nav-progressive-content,nav-cart-count,nav-cart-count nav-cart-0 nav-progressive-attribute nav-progressive-content,nav-cart-count,1833,19,,0,5960
www.amazon.com,move,3,1.9999999999999998.jpg,nav-line-2,,nav-line-2,,1859,28,,0,5960
www.amazon.com,move,3,1.9999999999999998.jpg,nav-line-2,,nav-line-2,,1871,30,,0,5960
www.amazon.com,move,3,1.9999999999999998.jpg,nav-line-2,,nav-line-2,,1875,32,,0,5960
www.amazon.com,eye,4,1.9999999999999998.jpg,nav-line-2,,nav-line-2,,512,256,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,nav-line-2,,nav-line-2,,1877,33,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,nav-line-2,,nav-line-2,,1878,33,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,nav-line-2,,nav-line-2,,1880,33,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,nav-a nav-a-2 nav-progressive-attribute,nav-cart,nav-a nav-a-2 nav-progressive-attribute,nav-cart,1884,33,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,layoutToolbarPadding,nav-tools,layoutToolbarPadding,nav-tools,1893,35,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,layoutToolbarPadding,nav-tools,layoutToolbarPadding,nav-tools,1898,36,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,layoutToolbarPadding,nav-tools,layoutToolbarPadding,nav-tools,1900,38,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,layoutToolbarPadding,nav-tools,layoutToolbarPadding,nav-tools,1901,38,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1905,38,,0,5960
www.amazon.com,move,4,2.1999999999999997.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,1908,39,,0,5960
www.amazon.com,eye,4,2.1999999999999997.jpg,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,a-ws a-js a-audio a-video a-canvas a-svg a-drag-drop a-geolocation a-history a-webworker a-autofocus a-input-placeholder a-textarea-placeholder a-local-storage a-gradients a-transform3d a-touch-scrolling a-text-shadow a-text-stroke a-box-shadow a-border-radius a-border-image a-opacity a-transform a-transition a-ember,,512,256,,0,5960
